City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,caleta de carquin,-11.0925,-77.6267,67.46,83,100,9.37,PE,1697339027
1,hermanus,-34.4187,19.2345,59.07,76,98,16.67,ZA,1697339027
2,ilulissat,69.2167,-51.1,17.62,79,20,9.22,GL,1697339027
3,moya,28.0906,-15.5883,78.67,48,73,5.53,ES,1697339027
4,adamstown,-25.066,-130.1015,70.99,80,96,5.61,PN,1697339027
5,utrik,11.2278,169.8474,82.9,74,14,10.09,MH,1697339027
6,coquimbo,-29.9533,-71.3436,55.13,94,20,2.3,CL,1697338811
7,poronaysk,49.2167,143.1167,52.29,75,14,13.56,RU,1697339028
8,sanya,18.2431,109.505,87.96,51,0,8.95,CN,1697339028
9,ust-nera,64.5667,143.2,15.22,92,100,1.99,RU,1697339028
10,puerto ayora,-0.7393,-90.3518,75.54,94,63,3.0,EC,1697338981
11,luganville,-15.5333,167.1667,81.59,79,92,10.51,VU,1697338886
12,vryburg,-26.9566,24.7284,58.33,30,69,5.91,ZA,1697339028
13,nagqu,31.5,92.0,37.11,49,34,6.44,CN,1697339028
14,bredasdorp,-34.5322,20.0403,57.7,79,88,14.05,ZA,1697339028
15,port blair,11.6667,92.75,84.24,79,40,1.14,IN,1697339028
16,vadso,70.0744,29.7487,36.48,93,100,29.93,NO,1697339028
17,thief river falls,48.1191,-96.1812,46.33,71,100,8.05,US,1697339029
18,port-aux-francais,-49.35,70.2167,32.43,67,97,24.52,TF,1697339029
19,kuqa,41.7278,82.9364,62.74,31,3,3.18,CN,1697339029
20,nemuro,43.3236,145.575,60.46,67,7,9.78,JP,1697338851
21,usogorsk,63.4106,48.6872,36.66,96,100,11.41,RU,1697339029
22,puerto natales,-51.7236,-72.4875,41.31,80,91,9.1,CL,1697339029
23,metlili chaamba,32.2667,3.6333,68.94,28,0,4.61,DZ,1697339029
24,cabo san lucas,22.8909,-109.9124,80.76,76,0,10.36,MX,1697339002
25,bethel,41.3712,-73.414,50.09,88,100,3.44,US,1697339029
26,college,64.8569,-147.8028,32.79,87,100,6.91,US,1697338801
27,coruripe,-10.1256,-36.1756,75.33,80,40,9.98,BR,1697339030
28,el sauzal de rodriguez,31.9,-116.6833,66.42,79,25,2.48,MX,1697339030
29,badger,64.8,-147.5333,32.7,87,99,2.77,US,1697338926
30,kodiak,57.79,-152.4072,44.11,70,75,11.5,US,1697339030
31,kavaratti,10.5669,72.642,79.07,82,99,9.22,IN,1697339030
32,xianyang,34.3378,108.7026,65.44,59,0,4.47,CN,1697339030
33,longyearbyen,78.2186,15.6401,31.84,74,75,25.32,SJ,1697339030
34,talnakh,69.4865,88.3972,34.21,85,96,5.19,RU,1697339030
35,the pas,53.8251,-101.2541,39.22,93,0,2.3,CA,1697339031
36,lompoc,34.6391,-120.4579,63.01,87,0,15.99,US,1697338805
37,margaret river,-33.95,115.0667,73.94,42,0,3.74,AU,1697339031
38,georgetown,5.4112,100.3354,85.93,83,20,1.14,MY,1697338974
39,shendi,16.6915,33.4341,83.44,32,1,8.55,SD,1697339031
40,namibe,-15.1961,12.1522,63.88,79,90,10.04,AO,1697339031
41,olonkinbyen,70.9221,-8.7187,28.22,86,100,19.86,SJ,1697339031
42,plastun,44.7561,136.2939,62.1,53,61,1.01,RU,1697339031
43,pallasovka,50.05,46.8833,47.1,91,6,7.56,RU,1697339031
44,grytviken,-54.2811,-36.5092,24.13,79,20,9.89,GS,1697339032
45,gewane,10.1664,40.6453,79.16,43,5,5.64,ET,1697339032
46,pisco,-13.7,-76.2167,66.25,82,0,11.5,PE,1697339032
47,thompson,55.7435,-97.8558,41.16,81,0,2.3,CA,1697338959
48,qaqortoq,60.7167,-46.0333,37.89,66,8,4.59,GL,1697339032
49,hawaiian paradise park,19.5933,-154.9731,81.91,80,20,4.61,US,1697339032
50,hithadhoo,-0.6,73.0833,81.19,77,74,10.22,MV,1697339032
51,villa la angostura,-40.7617,-71.6463,35.6,96,95,4.56,AR,1697339033
52,iqaluit,63.7506,-68.5145,28.13,92,75,9.22,CA,1697339033
53,el jadid,33.2549,-8.506,71.33,74,75,5.06,MA,1697339033
